anchor_p,offset,candidate_q,carrier,carrier_offset,carrier_d,post_carrier_lower_d_count,post_carrier_ge_d_count,label_status,label_reasons,label_unresolved_offsets,label_carrier,label_carrier_offset,label_carrier_d,lock_carrier,lock_carrier_offset,lock_carrier_d,lock_threat,lock_threat_offset,lock_threat_d,survivor_lock_carrier,survivor_lock_carrier_offset,survivor_lock_carrier_d,survivor_lock_threat,survivor_lock_threat_offset,survivor_lock_threat_d,label_lock_carrier,label_lock_carrier_offset,label_lock_carrier_d,label_lock_threat,label_lock_threat_offset,label_lock_threat_d,interior_prime_offsets,structural_status,structural_reasons,rule_x_status,rule_x_reasons,survivor_lock_status,survivor_lock_reasons,label_lock_status,label_lock_reasons,exact_status,exact_reasons
11,38,49,25,14,3,0,17,REJECTED,CANDIDATE_WITNESS_FACTOR_7,,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_WITNESS_FACTOR_7 LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
11,42,53,25,14,3,0,21,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,48,59,25,14,3,0,26,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36 42,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,50,61,25,14,3,0,27,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36 42 48,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,56,67,25,14,3,0,32,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36 42 48 50,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,60,71,25,14,3,0,35,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36 42 48 50 56,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,62,73,25,14,3,0,36,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,66,77,25,14,3,0,39,REJECTED,CANDIDATE_WITNESS_FACTOR_7,,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_WITNESS_FACTOR_7 LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
11,68,79,25,14,3,0,41,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,72,83,25,14,3,0,44,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,78,89,25,14,3,0,49,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,80,91,25,14,3,0,50,REJECTED,CANDIDATE_WITNESS_FACTOR_7,,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_WITNESS_FACTOR_7 LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
11,86,97,25,14,3,0,56,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,90,101,25,14,3,0,59,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,92,103,25,14,3,0,60,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,96,107,25,14,3,0,63,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,98,109,25,14,3,0,64,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,102,113,25,14,3,0,67,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,108,119,25,14,3,0,72,REJECTED,CANDIDATE_WITNESS_FACTOR_7,,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98 102,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_WITNESS_FACTOR_7 LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
11,110,121,25,14,3,0,74,REJECTED,CANDIDATE_WITNESS_FACTOR_11,,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98 102,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_WITNESS_FACTOR_11 LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
11,116,127,25,14,3,0,80,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98 102,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98 102,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,120,131,25,14,3,0,83,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98 102 116,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98 102 116,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,122,133,25,14,3,0,84,REJECTED,CANDIDATE_WITNESS_FACTOR_7,,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98 102 116 120,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_WITNESS_FACTOR_7 LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
11,126,137,25,14,3,0,88,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98 102 116 120,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98 102 116 120,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,128,139,25,14,3,0,89,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98 102 116 120 126,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98 102 116 120 126,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,4,17,14,1,4,0,2,RESOLVED_SURVIVOR,,,14,1,4,14,1,4,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,,SURVIVES,,SURVIVES,,SURVIVES,,RESOLVED_SURVIVOR,,SURVIVES,
13,6,19,14,1,4,0,3,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,4,14,1,4,14,1,4,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,4,SURVIVES,,SURVIVES,,SURVIVES,,UNRESOLVED,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,10,23,14,1,4,0,6,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,4 6,14,1,4,14,1,4,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,4 6,SURVIVES,,SURVIVES,,SURVIVES,,UNRESOLVED,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,16,29,25,12,3,0,3,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,4 6 10,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,18,31,25,12,3,0,4,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,4 6 10 16,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,24,37,25,12,3,0,9,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,4 6 10 16 18,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,28,41,25,12,3,0,12,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,4 6 10 16 18 24,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,30,43,25,12,3,0,13,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,4 6 10 16 18 24 28,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,34,47,25,12,3,0,16,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,4 6 10 16 18 24 28 30,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,36,49,25,12,3,0,17,REJECTED,CANDIDATE_WITNESS_FACTOR_7,,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_WITNESS_FACTOR_7 LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
13,40,53,25,12,3,0,21,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,4 6 10 16 18 24 28 30 34,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
